50-cells.html:30 -	time	id	type	x	y
50-cells.html:128 -	40	37	1	56.41499999999999	113.49499999999998
50-cells.html:128 -	40	38	1	112.86069651741295	58.95024875621893
50-cells.html:128 -	40	39	1	138.86069651741298	51.40796019900497
50-cells.html:128 -	40	40	1	54.78109452736315	126.76616915422876
50-cells.html:128 -	40	41	1	143.34653465346534	87.24752475247521
50-cells.html:128 -	40	42	1	13.38308457711443	82.39303482587057
50-cells.html:128 -	40	43	1	3.318407960199003	83.53731343283573
50-cells.html:128 -	40	44	1	40.82089552238807	34.238805970149265
50-cells.html:128 -	40	45	1	55.37810945273632	42.96517412935322
50-cells.html:128 -	40	46	1	70.45771144278609	118.32835820895524
50-cells.html:128 -	40	47	1	100.15920398009949	19.850746268656724
50-cells.html:128 -	40	48	1	99.10945273631845	89.57711442786074
50-cells.html:128 -	40	49	1	83.36815920398013	16.144278606965177
50-cells.html:128 -	40	50	1	12.024875621890555	112.08955223880602
50-cells.html:128 -	50	1	1	72.69154228855717	68.54228855721395
50-cells.html:128 -	50	2	1	2.363184079601988	130.59701492537314
50-cells.html:128 -	50	3	1	79.73631840796018	79.20895522388055
50-cells.html:128 -	50	4	1	17.62686567164179	39.07960199004979
50-cells.html:128 -	50	5	1	6.663366336633662	32.19801980198021
50-cells.html:128 -	50	6	1	101.46999999999997	6.065000000000001
50-cells.html:128 -	50	7	1	70.29850746268653	10.885572139303484
50-cells.html:128 -	50	8	1	139.21499999999997	74.51499999999997
50-cells.html:128 -	50	9	1	100.1094527363184	135.06965174129348
50-cells.html:128 -	50	10	1	134.10000000000008	66.68499999999995
50-cells.html:128 -	50	11	1	106.32000000000002	114.90499999999997
50-cells.html:128 -	50	12	1	122.72139303482584	42.47761194029848
50-cells.html:128 -	50	13	1	126.30348258706468	143.13930348258702
50-cells.html:128 -	50	14	1	126.84158415841587	128.76237623762376
50-cells.html:128 -	50	15	1	145.69651741293532	43.32338308457711
50-cells.html:128 -	50	16	1	61.11442786069652	22.343283582089562
50-cells.html:128 -	50	17	1	74.55721393034827	58.37810945273631
50-cells.html:128 -	50	18	1	42.50990099009905	51.846534653465376
50-cells.html:128 -	50	19	1	93.19402985074628	123.2587064676617
50-cells.html:128 -	50	20	1	144.44059405940592	20.83663366336633
50-cells.html:128 -	50	21	1	24.24752475247524	84.14356435643562
50-cells.html:128 -	50	22	1	111.65174129353227	145.80099502487562
50-cells.html:128 -	50	23	1	40.56716417910447	126.60199004975124
50-cells.html:128 -	50	24	1	43.79601990049749	3.5621890547263035
50-cells.html:128 -	50	25	1	112.86500000000002	132.24000000000004
50-cells.html:128 -	50	26	1	5.144278606965172	16.7363184079602
50-cells.html:128 -	50	27	1	80.76237623762378	114.6930693069307
50-cells.html:128 -	50	28	1	126.42288557213931	57.741293532338275
50-cells.html:128 -	50	29	1	55.79601990049755	84.60199004975125
50-cells.html:128 -	50	30	1	31.358208955223894	139.3333333333333
50-cells.html:128 -	50	31	1	65.58208955223883	81.2089552238806
50-cells.html:128 -	50	32	1	79.4752475247524	147.96039603960395
50-cells.html:128 -	50	33	1	53.99999999999998	29.895522388059714
50-cells.html:128 -	50	34	1	146.3118811881188	99.05445544554455
50-cells.html:128 -	50	35	1	8.313432835820898	49.427860696517406
50-cells.html:128 -	50	36	1	117.6318407960199	108.00497512437808
50-cells.html:128 -	50	37	1	56.450000000000024	114.06499999999997
50-cells.html:128 -	50	38	1	112.92	60.06
50-cells.html:128 -	50	39	1	138.41791044776113	50.850746268656714
50-cells.html:128 -	50	40	1	54.03980099502489	127.1641791044776
50-cells.html:128 -	50	41	1	143.23880597014926	87.31840796019904
50-cells.html:128 -	50	42	1	13.41791044776119	82.53233830845765
50-cells.html:128 -	50	43	1	3.0895522388059704	83.85572139303483
50-cells.html:128 -	50	44	1	40.616915422885555	34.129353233830855
50-cells.html:128 -	50	45	1	54.19999999999998	43.21000000000001
50-cells.html:128 -	50	46	1	70.56716417910448	118.92039800995026
50-cells.html:128 -	50	47	1	101.15920398009949	19.223880597014936
50-cells.html:128 -	50	48	1	100.92537313432841	89.88557213930353
50-cells.html:128 -	50	49	1	82.78606965174131	16.29353233830846
50-cells.html:128 -	50	50	1	11.457711442786067	113.61194029850749
50-cells.html:128 -	60	1	1	72.16915422885576	69.07462686567165
50-cells.html:128 -	60	2	1	2.1442786069651736	130.03980099502476
50-cells.html:128 -	60	3	1	81.47029702970296	80.93564356435643
50-cells.html:128 -	60	4	1	18.049751243781085	41.50746268656716
50-cells.html:128 -	60	5	1	5.3450000000000015	32.550000000000004
50-cells.html:128 -	60	6	1	101.79601990049754	6.029850746268656
50-cells.html:128 -	60	7	1	69.28855721393039	11.343283582089546
50-cells.html:128 -	60	8	1	139.50746268656707	74.2835820895522
50-cells.html:128 -	60	9	1	100.845	134.25999999999996
50-cells.html:128 -	60	10	1	134.66169154228848	66.0049751243781
50-cells.html:128 -	60	11	1	106.33168316831684	114.7772277227723
50-cells.html:128 -	60	12	1	122.80099502487568	41.13432835820895
50-cells.html:128 -	60	13	1	125.95522388059706	143.67164179104478
50-cells.html:128 -	60	14	1	126.97500000000001	128.94999999999987
50-cells.html:128 -	60	15	1	145.4129353233831	43.298507462686565
50-cells.html:128 -	60	16	1	61.65346534653466	23.019801980198032
50-cells.html:128 -	60	17	1	74.64179104477614	58.502487562189025
50-cells.html:128 -	60	18	1	41.17412935323385	52.29850746268656
50-cells.html:128 -	60	19	1	93.39	123.61500000000002
50-cells.html:128 -	60	20	1	144.5223880597015	21.646766169154247
50-cells.html:128 -	60	21	1	24.334999999999994	83.60500000000003
50-cells.html:128 -	60	22	1	111.58706467661693	145.72139303482587
50-cells.html:128 -	60	23	1	40.72139303482589	125.85572139303484
50-cells.html:128 -	60	24	1	45.38805970149253	3.5223880597014916
50-cells.html:128 -	60	25	1	113.09452736318411	132.228855721393
50-cells.html:128 -	60	26	1	4.676616915422887	17.189054726368152
50-cells.html:128 -	60	27	1	80.92574257425747	115.91584158415843
50-cells.html:128 -	60	28	1	125.8009950248756	57.169154228855746
50-cells.html:128 -	60	29	1	55.78109452736321	84.70646766169155
50-cells.html:128 -	60	30	1	32.07960199004975	138.94527363184076
50-cells.html:128 -	60	31	1	65.86567164179108	80.7363184079602
50-cells.html:128 -	60	32	1	79.00000000000001	146.67164179104478
50-cells.html:128 -	60	33	1	53.42786069651741	29.368159203980092
50-cells.html:128 -	60	34	1	145.8955223880597	98.80099502487559
50-cells.html:128 -	60	35	1	8.315	47.74499999999999
50-cells.html:128 -	60	36	1	116.98500000000003	107.93999999999996
50-cells.html:128 -	60	37	1	56.60696517412935	114.4875621890547
50-cells.html:128 -	60	38	1	112.53731343283582	61.15422885572137
50-cells.html:128 -	60	39	1	137.6268656716418	49.90049751243781
50-cells.html:128 -	60	40	1	53.712871287128706	127.490099009901
50-cells.html:128 -	60	41	1	142.9452736318408	87.14427860696516
50-cells.html:128 -	60	42	1	13.447761194029857	82.1343283582089
50-cells.html:128 -	60	43	1	3.288557213930347	84.27363184079601
50-cells.html:128 -	60	44	1	40.07462686567165	34.0995024875622
50-cells.html:128 -	60	45	1	53.30348258706468	43.353233830845745
50-cells.html:128 -	60	46	1	70.53731343283583	118.60199004975127
50-cells.html:128 -	60	47	1	101.9303482587065	18.905472636815915
50-cells.html:128 -	60	48	1	102.84500000000001	89.94500000000001
50-cells.html:128 -	60	49	1	82.40298507462686	16.323383084577106
50-cells.html:128 -	60	50	1	11.460396039603953	114.34158415841586
50-cells.html:128 -	70	1	1	71.4577114427861	69.66169154228857
50-cells.html:128 -	70	2	1	2.3233830845771135	129.19900497512424
50-cells.html:128 -	70	3	1	82.0049504950495	82.6534653465346
50-cells.html:128 -	70	4	1	18.41089108910892	42.712871287128706
50-cells.html:128 -	70	5	1	4.895000000000002	32.60500000000001
50-cells.html:128 -	70	6	1	102.6218905472637	5.925373134328357
50-cells.html:128 -	70	7	1	68.84577114427856	11.139303482587065
50-cells.html:128 -	70	8	1	139.71	74.04000000000006
50-cells.html:128 -	70	9	1	101.01990049751248	133.4427860696518
50-cells.html:128 -	70	10	1	135.1	65.42000000000006
50-cells.html:128 -	70	11	1	105.74626865671632	113.46766169154229
50-cells.html:128 -	70	12	1	122.91542288557211	40.64179104477611
50-cells.html:128 -	70	13	1	125.8756218905472	143.43781094527364
50-cells.html:128 -	70	14	1	127.27860696517412	129.09452736318406
50-cells.html:128 -	70	15	1	145.1980198019802	43.56435643564355
50-cells.html:128 -	70	16	1	62.32835820895523	23.099502487562198
50-cells.html:128 -	70	17	1	74.52499999999998	59.064999999999976
50-cells.html:128 -	70	18	1	39.99502487562188	51.68159203980102
50-cells.html:128 -	70	19	1	93.02985074626862	123.83582089552236
50-cells.html:128 -	70	20	1	144.4825870646766	22.000000000000007
50-cells.html:128 -	70	21	1	24.295000000000005	83.67500000000001
50-cells.html:128 -	70	22	1	111.40594059405939	145.7623762376237
50-cells.html:128 -	70	23	1	40.49751243781095	124.96019900497511
50-cells.html:128 -	70	24	1	47.024875621890565	3.7512437810945585
50-cells.html:128 -	70	25	1	112.97512437810941	132.07462686567158
50-cells.html:128 -	70	26	1	4.542288557213932	17.199004975124385
50-cells.html:128 -	70	27	1	80.93069306930695	116.97524752475243
50-cells.html:128 -	70	28	1	125.18811881188118	56.905940594059395
50-cells.html:128 -	70	29	1	56.124378109452735	85.23880597014926
50-cells.html:128 -	70	30	1	32.8457711442786	137.75124378109456
50-cells.html:128 -	70	31	1	66.26732673267323	80.28217821782178
50-cells.html:128 -	70	32	1	78.6268656716418	145.7910447761194
50-cells.html:128 -	70	33	1	53.48258706467663	29.422885572139304
50-cells.html:128 -	70	34	1	145.76500000000001	98.59999999999998
50-cells.html:128 -	70	35	1	8.487562189054723	47.00995024875619
50-cells.html:128 -	70	36	1	117.05970149253737	108.12935323383088
50-cells.html:128 -	70	37	1	56.467661691542276	114.45771144278606
50-cells.html:128 -	70	38	1	111.89054726368157	62.07960199004977
50-cells.html:128 -	70	39	1	136.67821782178223	49.297029702970285
50-cells.html:128 -	70	40	1	53.86069651741292	127.77114427860694
50-cells.html:128 -	70	41	1	143.09452736318408	86.91542288557217
50-cells.html:128 -	70	42	1	13.432835820895521	82.02487562189057
50-cells.html:128 -	70	43	1	3.5174129353233847	84.47761194029847
50-cells.html:128 -	70	44	1	39.57920792079206	33.495049504950494
50-cells.html:128 -	70	45	1	52.49253731343284	43.59701492537312
50-cells.html:128 -	70	46	1	70.55499999999994	118.08499999999995
50-cells.html:128 -	70	47	1	102.42786069651739	18.756218905472643
50-cells.html:128 -	70	48	1	103.55940594059402	89.0049504950495
50-cells.html:128 -	70	49	1	82.19402985074628	16.174129353233834
50-cells.html:128 -	70	50	1	11.35820895522388	114.93532338308455
50-cells.html:128 -	80	1	1	70.8756218905473	69.63681592039804
50-cells.html:128 -	80	2	1	2.1890547263681586	127.49751243781095
50-cells.html:128 -	80	3	1	82.23880597014927	83.36318407960201
50-cells.html:128 -	80	4	1	18.48258706467661	42.756218905472636
50-cells.html:128 -	80	5	1	4.278606965174128	32.50248756218902
50-cells.html:128 -	80	6	1	103.51980198019797	5.673267326732675
50-cells.html:128 -	80	7	1	68.68000000000004	11.399999999999995
50-cells.html:128 -	80	8	1	139.45499999999993	74.12000000000002
50-cells.html:128 -	80	9	1	101.29353233830851	133.0398009950248
50-cells.html:128 -	80	10	1	135.23999999999995	65.02000000000002
50-cells.html:128 -	80	11	1	105.51741293532339	112.56218905472639
50-cells.html:128 -	80	12	1	123.00995024875623	39.94527363184078
50-cells.html:128 -	80	13	1	125.6915422885572	143.81592039800995
50-cells.html:128 -	80	14	1	127.44278606965175	129.41791044776113
50-cells.html:128 -	80	15	1	144.59203980099502	43.328358208955244
50-cells.html:128 -	80	16	1	62.63184079601993	23.04477611940299
50-cells.html:128 -	80	17	1	74.26865671641795	59.20398009950249
50-cells.html:128 -	80	18	1	38.82500000000001	49.745000000000026
50-cells.html:128 -	80	19	1	93.21890547263679	123.58706467661695
50-cells.html:128 -	80	20	1	144.39303482587064	22.39800995024876
50-cells.html:128 -	80	21	1	24.47761194029851	82.87064676616917
50-cells.html:128 -	80	22	1	111.39499999999998	145.53
50-cells.html:128 -	80	23	1	40.54228855721395	124.99999999999993
50-cells.html:128 -	80	24	1	49.36999999999999	4.725000000000001
50-cells.html:128 -	80	25	1	113.15000000000002	131.88499999999988
50-cells.html:128 -	80	26	1	4.846534653465348	17.47524752475248
50-cells.html:128 -	80	27	1	80.75124378109447	118.17412935323384
50-cells.html:128 -	80	28	1	124.51243781094537	56.019900497512424
50-cells.html:128 -	80	29	1	56.39800995024877	85.29850746268659
50-cells.html:128 -	80	30	1	32.84079601990051	137.27860696517422
50-cells.html:128 -	80	31	1	67.2079207920792	80.17821782178221
50-cells.html:128 -	80	32	1	78.59701492537317	145.56218905472647
50-cells.html:128 -	80	33	1	52.766169154228876	29.781094527363177
50-cells.html:128 -	80	34	1	145.66169154228857	98.66169154228852
50-cells.html:128 -	80	35	1	8.4726368159204	46.2587064676617
