50-sparse-2.html:30 -	time	id	type	x	y
50-sparse-2.html:128 -	190	37	1	34.56435643564354	123.24257425742573
50-sparse-2.html:128 -	190	38	1	117.83168316831684	53.73762376237623
50-sparse-2.html:128 -	190	39	1	4.356435643564358	55.544554455445535
50-sparse-2.html:128 -	190	40	1	45.8663366336634	122.83663366336637
50-sparse-2.html:128 -	190	41	1	142.98522167487684	103.74876847290638
50-sparse-2.html:128 -	190	42	1	4.378109452736319	87.53731343283586
50-sparse-2.html:128 -	190	43	1	0.6218905472636811	76.45771144278605
50-sparse-2.html:128 -	190	44	1	34.732673267326746	20.123762376237636
50-sparse-2.html:128 -	190	45	1	46.202970297029715	26.331683168316832
50-sparse-2.html:128 -	190	46	1	57.86633663366337	122.01485148514851
50-sparse-2.html:128 -	190	47	1	119.86206896551727	20.42857142857143
50-sparse-2.html:128 -	190	48	1	87.31343283582088	90.28358208955225
50-sparse-2.html:128 -	190	49	1	98.2772277227723	14.702970297029701
50-sparse-2.html:128 -	190	50	1	6.371287128712876	98.48019801980196
50-sparse-2.html:128 -	200	1	1	67.29500000000002	61.76999999999998
50-sparse-2.html:128 -	200	2	1	18.77611940298508	116.10447761194027
50-sparse-2.html:128 -	200	3	1	64.26732673267327	82.94059405940588
50-sparse-2.html:128 -	200	4	1	30.915422885572156	31.69154228855721
50-sparse-2.html:128 -	200	5	1	16.522388059701495	32.69651741293533
50-sparse-2.html:128 -	200	6	1	109.77611940298502	13.164179104477608
50-sparse-2.html:128 -	200	7	1	73.18905472636813	2.8358208955223874
50-sparse-2.html:128 -	200	8	1	141.6089108910891	71.62871287128718
50-sparse-2.html:128 -	200	9	1	102.86633663366338	149.509900990099
50-sparse-2.html:128 -	200	10	1	143.53731343283582	57.253731343283576
50-sparse-2.html:128 -	200	11	1	118.5643564356435	104.16831683168316
50-sparse-2.html:128 -	200	12	1	128.0841584158416	59.668316831683185
50-sparse-2.html:128 -	200	13	1	112.47761194029853	129.50248756218897
50-sparse-2.html:128 -	200	14	1	115.9303482587065	117.92537313432838
50-sparse-2.html:128 -	200	15	1	0.17821782178217663	42.757425742574284
50-sparse-2.html:128 -	200	16	1	67.7524752475248	8.797029702970299
