obstacle-50-dense-2.html:30 -	time	id	type	x	y
obstacle-50-dense-2.html:131 -	40	123	2	40.53233830845772	125.6965174129353
obstacle-50-dense-2.html:131 -	40	124	2	41.228855721393046	149.96517412935324
obstacle-50-dense-2.html:131 -	40	125	2	109.50753768844223	129.97487437185924
obstacle-50-dense-2.html:131 -	40	126	2	147.585	23.435000000000002
obstacle-50-dense-2.html:131 -	40	127	2	77.15841584158417	105.60891089108908
obstacle-50-dense-2.html:131 -	40	128	2	119.56060606060596	55.404040404040394
obstacle-50-dense-2.html:131 -	40	129	2	55.44554455445548	86.79207920792078
obstacle-50-dense-2.html:131 -	40	130	2	26.39603960396041	136.21287128712873
obstacle-50-dense-2.html:131 -	40	131	2	68.75252525252523	88.64141414141417
obstacle-50-dense-2.html:131 -	40	132	2	85.10101010101006	3.7828282828282846
obstacle-50-dense-2.html:131 -	40	133	2	63.20297029702969	26.004950495049513
obstacle-50-dense-2.html:131 -	40	134	2	134.41708542713565	97.67839195979893
obstacle-50-dense-2.html:131 -	40	135	2	10.868686868686872	54.02020202020201
obstacle-50-dense-2.html:131 -	40	136	2	120.49253731343282	104.64676616915426
obstacle-50-dense-2.html:131 -	40	137	2	56.44776119402985	113.04477611940298
obstacle-50-dense-2.html:131 -	40	138	2	104.12437810945278	54.855721393034834
obstacle-50-dense-2.html:131 -	40	139	2	139.08900523560197	54.1937172774869
obstacle-50-dense-2.html:131 -	40	140	2	56.222772277227726	132.64356435643577
obstacle-50-dense-2.html:131 -	40	141	2	144.85641025641024	87.50256410256407
obstacle-50-dense-2.html:131 -	40	142	2	22.557788944723615	85.32663316582916
obstacle-50-dense-2.html:131 -	40	143	2	13.462311557788947	71.24623115577891
obstacle-50-dense-2.html:131 -	40	144	2	39.95024875621887	29.606965174129343
obstacle-50-dense-2.html:131 -	40	145	2	58.21674876847291	40.39408866995076
obstacle-50-dense-2.html:131 -	40	146	2	71.40099009900992	122.52970297029702
obstacle-50-dense-2.html:131 -	40	147	2	104.1044776119403	24.527363184079604
obstacle-50-dense-2.html:131 -	40	148	2	100.23383084577117	88.34328358208957
obstacle-50-dense-2.html:131 -	40	149	2	86.42929292929294	21.287878787878793
obstacle-50-dense-2.html:131 -	40	150	2	13.044999999999995	107.795
obstacle-50-dense-2.html:131 -	50	101	2	85.61881188118815	72.02475247524751
obstacle-50-dense-2.html:131 -	50	102	2	149.82587064676616	135.68159203980096
obstacle-50-dense-2.html:131 -	50	103	2	73.6633165829146	72.81407035175879
obstacle-50-dense-2.html:131 -	50	104	2	24.32178217821783	41.67821782178216
obstacle-50-dense-2.html:131 -	50	105	2	11.29353233830846	35.21393034825873
obstacle-50-dense-2.html:131 -	50	106	2	103.55837563451774	9.76142131979696
